E_nu[GeV] muCC mu_barCC eCC e_barCC tauCC tau_barCC nuNC nu_barNC
2.35 18.9124 8.24214 12.3425 4.59283 0 0 14.6676 6.6864
2.37 19.5649 7.64486 12.5293 4.76639 0 0 14.7075 6.8769
2.39 19.5719 8.51079 12.6696 4.58688 0 0 14.7214 6.91114
2.41 19.1025 7.70735 12.1991 4.36602 0 0 13.9332 6.14007
2.43 18.3035 7.75275 11.8338 4.51149 0 0 14.1406 6.95399
2.45 18.57 7.80975 11.5257 4.17288 0 0 13.7044 6.15653
2.47 17.8651 7.39563 11.383 4.49847 0 0 13.3282 6.54426
2.49 18.4586 7.47038 11.624 4.11192 0 0 13.9467 6.26892
2.51 21.1574 8.79417 12.3092 4.79577 0 0 14.8684 7.37644
2.53 15.9149 6.40112 10.1552 3.528 0 0 12.0842 5.23434
2.55 15.3252 6.77145 10.1702 3.79992 0 0 11.9392 5.71031
2.57 17.3052 6.79248 10.7585 3.96816 0 0 12.6713 5.61167
2.59 16.9209 6.55169 10.9082 3.8905 0 0 12.5549 6.29297
2.61 16.4785 6.83524 10.2168 3.80192 0 0 12.1426 5.6351
2.63 16.4964 6.65872 10.3397 3.8923 0 0 12.2481 5.59835
2.65 16.0039 6.97206 10.3935 3.72071 0 0 12.1151 5.42738
2.67 15.8458 6.65955 10.1877 3.54536 0 0 11.5184 5.23467
2.69 15.9638 6.55952 10.0169 4.11951 0 0 12.194 5.69736
2.71 14.9118 6.24297 9.91656 3.21231 0 0 11.5554 5.35055
2.73 15.6939 6.60036 9.65498 3.90462 0 0 11.3262 5.15951
2.75 15.4493 7.18544 9.51763 3.66351 0 0 11.5336 5.35087
2.77 15.1065 6.41204 9.39296 3.56886 0 0 10.8911 5.42577
2.79 14.8545 6.30336 9.19456 3.49484 0 0 11.0665 5.10633
2.81 18.0448 8.11609 10.764 3.99305 0 0 12.6208 6.07927
2.83 11.864 5.2634 7.5622 2.85572 0 0 9.47639 4.28832
2.85 12.9617 5.18219 8.73632 3.1129 0 0 9.97977 4.48849
2.87 13.7405 5.65627 8.64991 3.39058 0 0 10.27 4.82271
2.89 14.4499 6.06208 8.67371 3.18073 0 0 10.2262 4.82223
2.91 13.6041 5.43012 8.70088 3.21094 0 0 9.61995 4.3383
2.93 13.6082 5.68274 8.35471 3.05044 0 0 10.1334 4.68134
2.95 13.3987 5.65969 8.55033 3.29744 0 0 9.99088 4.65407
2.97 13.3776 5.74747 8.1529 2.98574 0 0 10.1163 4.43936
2.99 13.3975 5.72845 8.26497 3.14305 0 0 9.73598 4.45768
3.01 13.3364 5.65812 7.839 3.12703 0 0 9.78626 4.10409
3.03 12.4954 5.45749 8.02664 3.16409 0 0 9.33137 4.80059
3.05 12.975 5.72785 8.27442 2.93237 0 0 9.32003 4.56289
3.07 12.5935 5.29717 7.92736 2.97594 0 0 9.24519 4.09341
3.09 12.8613 5.40572 7.484 2.86183 0 0 9.14207 4.46966
3.11 11.6449 5.02939 7.55272 2.63325 0 0 8.80291 4.28264
3.13 12.5078 5.46296 7.27283 2.98699 0 0 9.2827 4.26804
3.15 14.9109 6.06644 8.79262 3.24753 0 0 9.56131 4.42092
3.17 11.012 4.73155 6.63705 2.62607 0 0 8.57798 3.74802
3.19 10.4254 4.18632 6.67259 2.21277 0 0 7.58506 3.51172
3.21 11.5788 4.49643 7.08068 2.55733 0 0 8.42836 3.61652
3.23 11.5558 4.78323 6.94669 2.69616 0 0 8.22372 3.76626
3.25 11.4026 4.89264 7.21028 2.25125 0 0 8.51693 3.93946
3.27 11.5593 4.76883 6.7591 2.54112 0 0 8.07705 3.91106
3.29 11.3204 4.73997 7.01977 2.55399 0 0 8.19821 3.97688
3.31 11.0738 4.60263 6.72305 2.53233 0 0 7.56297 3.82386
3.33 11.2841 4.76507 6.81571 2.53658 0 0 8.53178 3.78797
3.35 11.1689 4.56835 6.62966 2.34298 0 0 8.18346 3.23314
3.37 10.6883 4.48832 6.56678 2.51826 0 0 7.50345 3.45566
3.39 11.2109 4.60878 6.53219 2.51585 0 0 7.8991 3.82501
3.41 10.3542 4.45461 6.29361 2.53797 0 0 7.79895 3.56137
3.43 10.989 4.27597 6.31615 2.30581 0 0 7.43034 3.46152
3.45 10.8862 4.72301 6.43017 2.1804 0 0 7.43365 3.29705
3.47 10.3472 4.50676 5.97157 2.37618 0 0 7.18513 3.2664
3.49 9.96504 4.013 6.19975 2.46933 0 0 7.3593 3.68378
3.51 10.4009 4.72559 6.07908 2.37122 0 0 7.23965 3.46184
3.53 10.1495 4.61298 6.29197 2.39703 0 0.00519803 7.34435 3.26344
3.55 9.76664 4.15424 5.71576 2.29841 0 0.0110734 6.67862 3.34182
3.57 9.4758 3.82123 5.90693 2.05603 0 0.0058754 7.21733 3.42429
3.59 10.1926 4.02398 5.44963 1.86672 0 0.0058754 6.77709 3.17484
3.61 9.04951 3.79365 5.51415 2.30931 0 0.0121829 6.71354 3.16955
3.63 10.2081 4.39192 5.9036 1.89188 0 0 6.66826 3.06846
3.65 9.27268 3.9016 5.31538 2.03934 0 0.0121829 6.84232 3.16752
3.67 9.55043 3.81966 5.44794 2.09841 0 0.0153632 6.35732 2.97437
3.69 9.19045 3.94749 5.66657 2.07176 0 0.0153632 6.58725 2.93477
3.71 9.34444 3.5854 5.8242 2.00197 0 0.00915376 6.86781 2.952
3.73 9.06104 4.33324 5.03292 2.01288 0 0.0137306 6.46975 3.01645
3.75 9.06958 3.75342 5.36534 2.06508 0 0.0405743 6.30877 2.91459
3.77 8.74617 3.74679 5.00019 2.0194 0 0.00383481 6.24823 2.82411
3.79 9.24035 3.90901 5.41711 1.8379 0 0.0115044 6.54857 2.84109
3.81 8.69504 3.4096 5.1548 1.90811 0 0.0158446 6.06288 3.16302
3.83 8.64089 4.069 5.04747 1.80595 0 0.0253514 6.34926 2.56957
3.85 8.73719 3.66461 5.23977 2.0226 0 0.0116485 6.00261 2.76736
3.87 8.72229 3.74602 4.82806 1.7511 0 0.0159321 6.16592 2.78749
3.89 8.58239 3.61467 4.9436 2.05712 0 0.0318642 5.80743 2.89379
3.91 8.42145 3.58369 4.58302 1.6173 0 0.0293037 6.2968 2.61829
3.93 7.91232 3.57618 4.8695 1.89647 0 0.0251174 5.49834 2.57258
3.95 9.04966 3.79828 5.2232 1.98987 0.01157 0.0214583 5.607 2.90699
3.97 9.03728 3.97856 5.06064 2.04935 0 0.0172721 6.43603 2.9606
3.99 6.29639 2.69029 3.99163 1.36599 0.219831 0.0302261 4.70993 2.04651
4.01 7.90498 3.24699 4.59938 1.717 0.101741 0.0258544 5.13041 2.37197
4.03 7.89821 3.39133 4.57933 1.65255 0.103817 0.0258544 5.82672 2.70395
4.05 7.60749 3.41671 4.30919 1.53451 0.0820206 0.0316721 5.76649 2.56937
4.07 7.42782 3.40503 4.3758 1.62082 0.130829 0.0327424 5.4728 2.31373
4.09 7.96023 3.3186 4.77362 1.94568 0.105909 0.0350812 5.39082 2.60978
4.11 7.63744 3.24269 4.27771 1.47091 0.126346 0.0231266 5.36378 2.63764
4.13 7.7687 3.10753 4.55588 1.72525 0.0887838 0.0340098 5.29244 2.46152
4.15 7.32895 3.2085 4.27694 1.48073 0.133943 0.0502845 5.31731 2.57707
4.17 7.53889 3.23591 4.31057 1.53258 0.0933501 0.0383171 4.94691 2.35681
4.19 7.34161 3.17611 4.33076 1.71512 0.144268 0.0359223 5.56222 2.38201
4.21 7.20535 3.0822 4.29891 1.60868 0.12679 0.0377122 4.85514 2.42649
4.23 7.25795 3.20371 4.21584 1.6969 0.115263 0.0468546 5.03237 2.05493
4.25 7.56316 2.8095 3.96841 1.74213 0.138235 0.0407146 5.37264 2.51168
4.27 6.91283 2.92421 4.30278 1.50576 0.150489 0.0327399 4.72327 2.08953
4.29 7.16731 3.2325 3.92988 1.62062 0.101148 0.0523838 5.14211 2.38239
4.31 7.13503 3.09515 3.98146 1.58028 0.127173 0.0391343 4.75198 2.15445
4.33 6.80933 2.94264 3.97503 1.38812 0.148369 0.0552485 4.92541 2.38337
4.35 6.77647 2.85626 4.03845 1.39997 0.119377 0.0427574 4.79982 2.44354
4.37 6.50517 3.00966 4.06212 1.66151 0.110646 0.0484864 4.89973 2.15665
4.39 7.0986 2.7273 3.79646 1.54331 0.157671 0.0506903 4.82698 2.30932
4.41 6.31775 2.90697 3.7687 1.59017 0.123634 0.0452449 4.76547 2.20617
4.43 6.75192 2.74257 3.8878 1.27861 0.13333 0.0497694 4.52155 2.08649
4.45 7.42272 2.83948 3.95983 1.43412 0.127097 0.0547722 5.22227 2.0763
4.47 6.3769 2.70073 3.73974 1.29526 0.127323 0.0525018 4.44674 1.98847
4.49 5.97613 2.6211 3.2865 1.14914 0.171997 0.056702 3.93475 1.81265
4.51 6.27543 2.68493 3.53806 1.3226 0.118578 0.0469844 4.26968 2.22655
4.53 6.52928 2.71544 3.58053 1.33383 0.158104 0.0662053 4.37455 2.02045
4.55 6.7293 2.77647 3.73767 1.31138 0.173926 0.0588539 4.77887 1.96553
4.57 6.06234 2.54272 3.41462 1.38634 0.154026 0.069567 4.3704 1.76428
4.59 6.28776 2.74535 3.7092 1.33702 0.104264 0.0425709 4.41046 2.11375
4.61 6.22471 2.79063 3.39891 1.21801 0.133751 0.0629291 4.33138 1.87745
4.63 6.00303 2.52263 3.54966 1.42071 0.137743 0.0496808 4.24268 1.96101
4.65 6.24899 2.40826 3.59684 1.20331 0.159531 0.0621642 3.98545 1.84291
4.67 6.44758 2.65131 3.55137 1.37769 0.126941 0.0617493 4.32044 1.85518
4.69 5.98331 2.61782 3.3488 1.27163 0.173486 0.0715507 4.33561 2.03588
4.71 5.89176 2.4374 3.33579 1.26016 0.148717 0.0603942 4.2967 1.81388
4.73 6.14454 2.53559 3.59395 1.29953 0.162784 0.0691611 3.99714 2.00447
4.75 6.09892 2.64803 3.27897 1.24419 0.115897 0.063231 3.76929 2.12661
